,Weeks on Chart,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Debut Position,LyricPositive,LyricNeutral,LyricNegative,TweetPositive,TweetNeutral,TweetNegative,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 0,Classification
1238,2,TRUE,127741,68,0.79,0.629,9,-7.172,1,0.138,0.179,0,0.356,0.833,124.063,4,64,3,62,33,0,100,0,0,0.165001765,0,0,0,0.637107909,0,0,0.192622796,0,5
1239,2,TRUE,197666,62,0.759,0.646,5,-7.815,0,0.304,0.0164,0,0.137,0.242,145.005,4,74,18,67,14,21,78,0,0.151729867,0.683355153,0,0,0,0,0,0,0.157540768,0,5
1240,2,FALSE,208205,66,0.526,0.803,11,-3.989,1,0.127,0.135,0,0.119,0.564,157.887,4,100,1,96,1,12,87,0,0,0,0,0,0,0,0,0,0.983005226,0,6
1241,2,FALSE,220850,74,0.578,0.694,5,-5.351,1,0.0706,0.0112,0,0.102,0.268,129.921,4,64,11,84,4,12,87,0,0,0,0,0,0,0.14850755,0.840819776,0,0,0,5
1242,2,TRUE,157656,77,0.688,0.656,4,-5.541,0,0.276,0.218,0,0.115,0.365,160.414,4,99,1,86,11,2,96,1,0.768841088,0.10027156,0,0,0,0.010150327,0,0,0.115125209,0,6
1243,2,TRUE,171333,63,0.729,0.672,7,-6.749,1,0.282,0.0265,0,0.244,0.595,159.903,4,99,1,84,14,7,90,1,0.045022693,0.138570949,0,0,0,0,0,0,0.809797645,0,6
1244,2,TRUE,275253,70,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68E-05,0.154,0.37,138.842,4,37,31,60,8,4,91,4,0,0.050771195,0,0,0,0.874026179,0,0,0.070052676,0,4
1245,2,TRUE,253506,69,0.603,0.562,6,-8.311,1,0.0267,0.146,0,0.109,0.244,100.038,4,79,9,65,25,2,95,2,0,0,0,0,0,0.289561629,0,0,0,0.685430646,6
1246,2,TRUE,328906,59,0.4,0.574,9,-7.593,0,0.0494,0.137,0,0.381,0.199,128.584,4,68,12,87,0,3,94,2,0.076317839,0.558899045,0,0,0,0.138755322,0.165395483,0,0,0.055365767,6
1247,2,FALSE,195986,64,0.25,0.215,8,-13.676,0,0.037,0.632,0.0717,0.401,0.0746,174.824,3,37,4,95,0,8,91,0,0.086738579,0.899460316,0,0,0,0,0,0,0,0,4
1248,2,TRUE,163120,79,0.854,0.554,8,-4.684,1,0.172,0.769,1.84E-06,0.0749,0.272,142.069,4,75,5,88,5,13,85,1,0.384596139,0.212786943,0,0,0,0.394656122,0,0,0,0,5
1249,2,FALSE,250973,67,0.719,0.615,6,-5.972,1,0.045,0.408,0.000147,0.235,0.465,96.988,4,74,10,83,5,6,93,0,0.375320047,0.071112774,0,0.040947732,0,0,0.505637884,0,0,0,5
1250,2,TRUE,320680,74,0.596,0.393,8,-8.714,1,0.383,0.637,0,0.539,0.36,107.425,4,67,12,80,6,13,86,0,0.221440241,0.454359442,0,0.014318797,0,0.119121827,0.186555266,0,0,0,5
1251,2,FALSE,193320,66,0.688,0.688,3,-5.84,1,0.0357,0.3,0,0.0982,0.451,114.011,4,74,2,97,0,0,100,0,0,0,0,0,0,0,0,0,0.985478997,0,5
1252,2,TRUE,188702,63,0.758,0.526,5,-10.81,0,0.255,0.509,0.000467,0.0913,0.312,146.054,4,87,5,85,8,25,65,9,0,0,0.239226297,0,0,0.5285393,0,0,0.225980535,0,6
1253,2,TRUE,158586,74,0.892,0.507,0,-8.282,1,0.378,0.704,3.14E-05,0.109,0.695,143.96,4,70,12,78,8,5,92,2,0,0,0,0,0,0.017767895,0,0,0.970957994,0,5
1254,2,TRUE,214853,67,0.831,0.814,5,-5.18,1,0.474,0.391,0,0.109,0.846,161.041,4,75,9,74,16,0,100,0,0.183303416,0,0,0,0,0.149945423,0.489057094,0,0.172185376,0,5
1255,2,TRUE,156893,78,0.665,0.741,0,-3.694,1,0.0787,0.154,3.02E-05,0.345,0.57,144.968,4,37,2,69,27,17,73,8,0,0,0,0.050531156,0,0,0.844316363,0,0.089234494,0,4
